,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff,western_province,inscr_N,occups_list,occups_N,occups_unique_N,inscr_N_post235,occups_N_post235,ratio_post235,city_province,occups_cats_list,occups_cats_unique_N,occups_cats_vec,shares_vec,ZI,largest_cat,ZI_cat,shares_weighted_vec,RZI,RZI_cat,DI
730,Hanson2016_731,Tarraco,Tarragona,Hispania Tarraconensis,Spain,1,25 G4,-218,,Benario 1981; Boatwright 2000; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; Golvin 1988; Humphrey 1986; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Woloch 1983.,70.0,Walls,"['Colonia', 'Conventus capital', 'Provincial capital', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Aqueduct', 'Arch of Bara', 'Basilica', 'Baths', 'Capitolium', 'Circus', 'Comitium', 'Fort?', 'Forum', 'Harbour', 'Nymphaeum', 'Temple of Augustus', 'Temple of Isis?', 'Temple of Jupiter Ammon?', 'Temple of Jupiter and Europa', 'Theatre', 'Urban grid', 'Walls (Iberian)', 'Walls (Republican)', 'Walls (Roman)']",22,POINT (1.25763 41.117936),731,72.0,72.0,72.0,12211.0,12211.0,1.0,True,2924.0,"['faber', 'faber', 'faber', 'faber', 'copo', 'aerarius', 'curator', 'pictor', 'tector', 'curator', 'curator', 'curator', 'curator', 'curator', 'curator', 'faber', 'frumentarius', 'frumentarius', 'arcarius', 'arcarius', 'faber', 'curator', 'faber', 'faber', 'faber', 'faber', 'faber', 'negotians', 'centonarius', 'aurifex', 'figulus', 'figulus', 'figulus', 'figulus', 'figulus', 'curator', 'frumentarius', 'inaurator', 'faber', 'sacomarius']",40.0,14.0,116.0,0.0,0.03967168262653899,Tarraco (Hispania Tarraconensis),"['Unclassified', 'Unclassified', 'Unclassified', 'Unclassified', 'Miscellaneous Services', 'Metal-Working', 'Managerial', 'Plastic Arts', 'Building', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Unclassified', 'Retail', 'Retail', 'Finance', 'Finance', 'Unclassified', 'Managerial', 'Unclassified', 'Unclassified', 'Unclassified', 'Unclassified', 'Unclassified', 'Retail', 'Clothing', 'Metal-Working', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Household Goods', 'Managerial', 'Retail', 'Metal-Working', 'Unclassified', 'Miscellaneous Services']",10,[ 0  4  3  0  0  5  0  1  0  0  0  9  1  0  0 12  2  1  2],"[0.    0.1   0.075 0.    0.    0.125 0.    0.025 0.    0.    0.    0.225
 0.025 0.    0.    0.3   0.05  0.025 0.05 ]",0.3,12,Unclassified,"[0.         1.23348148 0.78448492 0.         0.         6.23203593
 0.         1.61356589 0.         0.         0.         1.07232398
 0.41055227 0.         0.         3.604329   2.49281437 0.33410915
 0.37606143]",6.232035928143713,Household Goods,5.594405594405595
732,Hanson2016_733,Toletum,Toledo,Hispania Tarraconensis,Spain,3,27 A2,-50,,BNP; Carreras Monfort 1995-1996; DGRG; Nelis-Clément and Roddaz 2008; PECS.,5.0,Walls,['Rights and privileges'],"['Amphitheatre', 'Aqueduct', 'Circus', 'Theatre']",4,POINT (-4.024491 39.85668),733,,,,,1000.0,,True,76.0,['curator'],1.0,1.0,26.0,0.0,0.34210526315789475,Toletum (Hispania Tarraconensis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
734,Hanson2016_735,Uxama,Osma,Hispania Tarraconensis,Spain,4 or 5,25 B4,-50,,Carreras Monfort 1995-1996; DGRG; PECS.,26.0,Walls,,"['Basilica', 'Baths', 'Forum', 'Walls']",4,POINT (-3.082109 41.585279),735,,,,,3252.0,,True,53.0,['sutor'],1.0,1.0,1.0,0.0,0.018867924528301886,Uxama (Hispania Tarraconensis),['Clothing'],1,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.],1.0,1,Clothing,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
 16.42209073  0.          0.          0.          0.          0.
  0.        ]",16.422090729783037,Clothing,1.0
735,Hanson2016_736,Valentia (Hispania Tarraconensis) (1),Valencia,Hispania Tarraconensis,Spain,3,27 E2,-138,,BNP; Brunt 1971; Carreras Monfort 1995-1996; Cornell and Mathews 1982; DGRG; MacMullen 2000; Nelis-Clément and Roddaz 2008; PECS; Salmon 1969.,37.0,Walls,"['Colonia', 'Colonia', 'Colonia?', 'Rights and privileges', 'Rights and privileges']","['Circus?', 'Forum', 'Temple', 'Urban grid', 'Walls']",5,POINT (-0.375507 39.475798),736,,,,,5210.0,,True,272.0,"['argentarius', 'vasclarius']",2.0,2.0,11.0,0.0,0.04044117647058824,Valentia (Hispania Tarraconensis) (1) (Hispania Tarraconensis),"['Metal-Working', 'Metal-Working']",1,[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,2,Metal-Working,"[ 0.          0.         10.45979899  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",10.459798994974873,Metal-Working,1.0
738,Hanson2016_739,Abella,Avella,Italia (I Latium and Campania),Italy,3,44 G4,-600,,Beloch 1880; Bomgardner 2000; Cornell and Mathews 1982; de Ligt 2012; DGRG; PECS; Salmon 1969; Salmon 1969; Sear 2006.,28.0,Walls,['Colonia'],"['Amphitheatre', 'Forum', 'Temple', 'Temple', 'Theatre', 'Urban grid?', 'Walls']",7,POINT (14.601389 40.96),739,,,,,3590.0,,True,51.0,"['curator', 'curator', 'dissignator']",3.0,2.0,7.0,1.0,0.13725490196078433,Abella (Italia (I Latium and Campania)),"['Managerial', 'Managerial', 'Managerial']",1,[0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,3,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
739,Hanson2016_740,Abellinum,Avellino,Italia (I Latium and Campania),Italy,3,44 G4,-400,,Beloch 1880; BNP; Cornell and Mathews 1982; de Ligt 2012; Quinn and Wilson 2013; Salmon 1969; Sear 2006.,25.0,Walls,"['Colonia', 'Colonia', 'Colonia']","['Amphitheatre', 'Aqueduct', 'Baths', 'Forum', 'Forum?', ""Temple ('capitolium')"", 'Theatre', 'Urban grid?', 'Walls', 'Walls']",10,POINT (14.792723 40.914749),740,,,,,3086.0,,True,169.0,"['aerarius', 'faber', 'faber', 'sector', 'aurificus', 'curator']",6.0,5.0,37.0,1.0,0.21893491124260356,Abellinum (Italia (I Latium and Campania)),"['Metal-Working', 'Unclassified', 'Unclassified', 'Building', 'Metal-Working', 'Managerial']",4,[0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 2 0 1 0],"[0.         0.         0.33333333 0.         0.         0.
 0.         0.         0.         0.         0.         0.16666667
 0.         0.         0.         0.33333333 0.         0.16666667
 0.        ]",0.3333333333333333,2,Metal-Working,"[0.         0.         3.48659966 0.         0.         0.
 0.         0.         0.         0.         0.         0.79431406
 0.         0.         0.         4.00481    0.         2.22739433
 0.        ]",4.004810004810005,Unclassified,3.5999999999999996
740,Hanson2016_741,Acerrae,Acerra,Italia (I Latium and Campania),Italy,3,44 F4,-400,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; DGRG; Sear 2006.,17.0,Urban grid,"['Colonia', 'Municipium', 'Rights and privileges']","['Forum', 'Theatre', 'Urban grid', 'Walls']",4,POINT (14.371049 40.945557),741,,,,,1843.0,,True,4.0,['curator'],1.0,1.0,0.0,0.0,0.0,Acerrae (Italia (I Latium and Campania)),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
741,Hanson2016_742,Aletrium,Alatri,Italia (I Latium and Campania),Italy,3,44 D2,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; Nelis-Clément and Roddaz 2008; PECS.,23.0,Walls,"['Municipium', 'Rights and privileges']","['Aqueduct', 'Circus', 'Temple', 'Walls']",4,POINT (13.34211 41.726495),742,,,,,2760.0,,True,86.0,"['scriba', 'scriba', 'plumbarius']",3.0,2.0,7.0,0.0,0.08139534883720931,Aletrium (Italia (I Latium and Campania)),"['Education', 'Education', 'Metal-Working']",2,[0 0 1 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0],"[0.         0.         0.33333333 0.         0.         0.
 0.         0.         0.66666667 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",0.6666666666666666,2,Education,"[ 0.          0.          3.48659966  0.          0.          0.
  0.          0.         13.80762852  0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",13.807628524046434,Education,1.7999999999999998
742,Hanson2016_743,Allifae,Alife,Italia (I Latium and Campania),Italy,3,44 F3,-400,,Beloch 1880; Bispham 2007; BNP; Cornell and Mathews 1982; de Ligt 2012; DGRG; PECS; Salmon 1969; Salmon 1969.,22.0,Walls,"['Colonia', 'Colonia', 'Municipium']","['Amphitheatre', 'Baths', 'Forum', 'Theatre', 'Urban grid', 'Walls']",6,POINT (14.330584 41.328485),743,,,,,2601.0,,True,175.0,"['curator', 'scriba', 'capulator', 'curator', 'gladiator', 'gladiator', 'scaenicus', 'gladiator', 'gladiator', 'scaenicus', 'curator', 'faber', 'curator', 'curator', 'medicus', 'conditor', 'faber tignuarius']",17.0,9.0,7.0,1.0,0.04,Allifae (Italia (I Latium and Campania)),"['Managerial', 'Education', 'Miscellaneous Services', 'Managerial', 'Performing Arts', 'Performing Arts', 'Performing Arts', 'Performing Arts', 'Performing Arts', 'Performing Arts', 'Managerial', 'Unclassified', 'Managerial', 'Managerial', 'Miscellaneous Services', 'Food-Production', 'Building']",7,[1 0 0 0 0 0 0 0 1 0 0 5 0 0 6 1 0 1 2],"[0.05882353 0.         0.         0.         0.         0.
 0.         0.         0.05882353 0.         0.         0.29411765
 0.         0.         0.35294118 0.05882353 0.         0.05882353
 0.11764706]",0.35294117647058826,6,Performing Arts,"[1.04874669 0.         0.         0.         0.         0.
 0.         0.         1.21832016 0.         0.         1.4017307
 0.         0.         7.79466375 0.70673118 0.         0.78613917
 0.88485042]",7.7946637540958035,Performing Arts,4.188405797101449
743,Hanson2016_744,Anagnia,Anagni,Italia (I Latium and Campania),Italy,2,43 E3,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; Nelis-Clément and Roddaz 2008; PECS.,20.0,Walls,"['Municipium', 'Rights and privileges']","['Circus?', 'Forum', 'Sanctuary', 'Sanctuary', 'Sanctuary of Venus Libitina', 'Walls']",6,POINT (13.158999 41.742235),744,,,,,2290.0,,True,112.0,"['caplator', 'gerulus', 'aerarius', 'faber', 'aerarius', 'curator', 'curator']",7.0,5.0,4.0,0.0,0.03571428571428571,Anagnia (Italia (I Latium and Campania)),"['Transport', 'Transport', 'Metal-Working', 'Unclassified', 'Metal-Working', 'Managerial', 'Managerial']",4,[0 0 2 0 0 0 2 0 0 0 0 2 0 0 0 1 0 0 0],"[0.         0.         0.28571429 0.         0.         0.
 0.28571429 0.         0.         0.         0.         0.28571429
 0.         0.         0.         0.14285714 0.         0.
 0.        ]",0.2857142857142857,2,Metal-Working,"[0.         0.         2.988514   0.         0.         0.
 7.69856681 0.         0.         0.         0.         1.36168125
 0.         0.         0.         1.71634714 0.         0.
 0.        ]",7.698566805362921,Transport,3.769230769230769
744,Hanson2016_745,Antium,Anzio,Italia (I Latium and Campania),Italy,2,43 C4,-500,,Beloch 1880; Cornell and Mathews 1982; de Ligt 2012; PECS; Salmon 1969; Salmon 1969; Sear 2006.,60.0,Inhabited area,"['Colonia', 'Colonia', 'Colonia', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Amphitheatre', 'Aqueduct', 'Circus?', 'Harbour', 'Odeum', 'Temple of Asclepius', 'Temple of Fortuna', 'Walls']",9,POINT (12.629052 41.447947),745,,,,,9938.0,,True,264.0,"['aerarius', 'curator', 'navalis', 'tegularius', 'topiarius', 'structor', 'speculariarius', 'speculariarius', 'margaritarius', 'pavimentarius', 'glutinator', 'glutinator', 'lapidarius', 'tegularius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'topiarius', 'medicus', 'medicus', 'medicus', 'politor', 'politor', 'lintio', 'mensor', 'pictor', 'pictor', 'tector', 'tector', 'tector', 'tector', 'frumentarius', 'curator', 'curator', 'faber', 'scriba', 'curator', 'arcarius', 'nummularius', 'subaedianus', 'aerarius', 'horrearius', 'structor', 'faber']",50.0,24.0,5.0,2.0,0.01893939393939394,Antium (Italia (I Latium and Campania)),"['Metal-Working', 'Managerial', 'Transport', 'Building', 'Miscellaneous Services', 'Building', 'Glass-Working', 'Glass-Working', 'Retail', 'Building', 'Miscellaneous Services', 'Miscellaneous Services', 'Building', 'Building', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Clothing', 'Miscellaneous Services', 'Plastic Arts', 'Plastic Arts', 'Building', 'Building', 'Building', 'Building', 'Retail', 'Managerial', 'Managerial', 'Unclassified', 'Education', 'Managerial', 'Finance', 'Finance', 'Building', 'Metal-Working', 'Managerial', 'Building', 'Unclassified']",12,[ 0  2  2  0  2  0  1  2  1  0  0  5  1  0  0  2  2 11 19],"[0.   0.04 0.04 0.   0.04 0.   0.02 0.04 0.02 0.   0.   0.1  0.02 0.
 0.   0.04 0.04 0.22 0.38]",0.38,19,Miscellaneous Services,"[ 0.          0.49339259  0.41839196  0.         14.48        0.
  0.53889968  2.58170543  0.41422886  0.          0.          0.47658844
  0.32844181  0.          0.          0.4805772   1.9942515   2.94016051
  2.85806685]",14.48,Glass-Working,4.681647940074906
746,Hanson2016_747,Aquinum,Aquino,Italia (I Latium and Campania),Italy,2,44 E3,-400,,Beloch 1880; Bispham 2007; Cornell and Mathews 1982; de Ligt 2012; Golvin 1988; PECS; Quinn and Wilson 2013; Salmon 1969; Sear 2006.,71.0,Walls,"['Colonia', 'Municipium', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Arch', 'Basilica', 'Baths', 'Capitolium?', 'Temple', 'Temple', 'Temple', 'Temple', 'Temple of Hercules Liberator', 'Theatre', 'Urban grid', 'Walls', 'Walls']",14,POINT (13.70563 41.492204),747,,,,,12445.0,,True,388.0,"['argentarius', 'coactor', 'tibicinus', 'medicus', 'curator', 'faber', 'faber', 'curator', 'faber', 'faber', 'curator', 'curator', 'faber', 'faber', 'faber', 'aeneator', 'curator', 'dissignator', 'colorator']",19.0,9.0,2.0,0.0,0.005154639175257732,Aquinum (Italia (I Latium and Campania)),"['Metal-Working', 'Clothing', 'Performing Arts', 'Miscellaneous Services', 'Managerial', 'Unclassified', 'Unclassified', 'Managerial', 'Unclassified', 'Unclassified', 'Managerial', 'Managerial', 'Unclassified', 'Unclassified', 'Unclassified', 'Performing Arts', 'Managerial', 'Managerial', 'Clothing']",6,[0 0 1 0 0 0 0 0 0 0 0 6 2 0 2 7 0 0 1],"[0.         0.         0.05263158 0.         0.         0.
 0.         0.         0.         0.         0.         0.31578947
 0.10526316 0.         0.10526316 0.36842105 0.         0.
 0.05263158]",0.3684210526315789,7,Unclassified,"[0.         0.         0.55051574 0.         0.         0.
 0.         0.         0.         0.         0.         1.50501612
 1.72864113 0.         2.32472428 4.42636895 0.         0.
 0.39585413]",4.426368952684742,Unclassified,3.800000000000001
747,Hanson2016_748,Ardea,Ardea,Italia (I Latium and Campania),Italy,3,43 C3,-500,1.0,Beloch 1880; Beloch 1886; Bispham 2007; Cornell and Mathews 1982; de Ligt 2012; PECS; Salmon 1969; Salmon 1969.,45.0,Unspecified,"['Colonia', 'Colonia', 'Municipium', 'Rights and privileges']","['Basilica', 'Forum', 'Temple of Castor and Pollux', 'Temple of Juno', 'Urban grid?', 'Walls', 'Walls']",7,POINT (12.510598 41.611502),748,,,,,6767.0,,True,30.0,['curator'],1.0,1.0,1.0,0.0,0.03333333333333333,Ardea (Italia (I Latium and Campania)),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         4.76588437
 0.         0.         0.         0.         0.         0.
 0.        ]",4.76588437321122,Managerial,1.0
748,Hanson2016_749,Aricia,Ariccia,Italia (I Latium and Campania),Italy,3,43 C3,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; PECS.,22.0,Walls,"['Municipium', 'Rights and privileges']","['Acropolis', 'Baths', 'Temple', 'Temple of Ceres and Proserpina', 'Theatre', 'Walls', 'Walls']",7,POINT (12.664436 41.731719),749,,,,,2601.0,,True,574.0,"['curator', 'venator', 'curator', 'curator', 'venator', 'lecticarius', 'curator', 'faber', 'scaenicus', 'scriba', 'mensor', 'mensor', 'mensor', 'faber', 'arcarius', 'curator', 'curator', 'lotorus', 'curator', 'negotiator', 'scriba', 'candidarius', 'pistor']",23.0,12.0,39.0,0.0,0.06794425087108014,Aricia (Italia (I Latium and Campania)),"['Managerial', 'Miscellaneous Services', 'Managerial', 'Managerial', 'Miscellaneous Services', 'Food-Production', 'Managerial', 'Unclassified', 'Performing Arts', 'Education', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Unclassified', 'Finance', 'Managerial', 'Managerial', 'Clothing', 'Managerial', 'Retail', 'Education', 'Food-Production', 'Food-Production']",9,[3 1 0 0 0 0 0 0 2 0 0 7 1 0 1 2 1 0 5],"[0.13043478 0.04347826 0.         0.         0.         0.
 0.         0.         0.08695652 0.         0.         0.30434783
 0.04347826 0.         0.04347826 0.08695652 0.04347826 0.
 0.2173913 ]",0.30434782608695654,7,Managerial,"[2.3254818  0.5362963  0.         0.         0.         0.
 0.         0.         1.80099502 0.         0.         1.45048655
 0.71400394 0.         0.9602122  1.04473304 2.16766467 0.
 1.63504968]",2.325481798715203,Food-Production,5.568421052631578
749,Hanson2016_750,Arpinum,Arpino,Italia (I Latium and Campania),Italy,3,44 E2,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; DGRG; PECS.,6.0,Inhabited area,"['Municipium', 'Rights and privileges', 'Rights and privileges']","['Acropolis', 'Arch', 'Temple of Mercury Lanarius', 'Walls']",4,POINT (13.60987 41.648444),750,,,,,1000.0,,True,35.0,"['lanarius', 'nummularius']",2.0,2.0,0.0,0.0,0.0,Arpinum (Italia (I Latium and Campania)),"['Clothing', 'Finance']",2,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0],"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.5 0.
 0. ]",0.5,1,Clothing,"[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  8.21104536  0.          0.          0.         24.92814371  0.
  0.        ]",24.92814371257485,Finance,2.0
750,Hanson2016_751,Atella,Atella,Italia (I Latium and Campania),Italy,3,44 F4,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; DGRG; PECS; Salmon 1969.,50.0,Inhabited area,"['Colonia', 'Municipium']","['Amphitheatre', 'Baths', 'Baths', 'Urban grid', 'Walls']",5,POINT (14.269963 40.980411),751,,,,,7790.0,,True,38.0,"['curator', 'curator', 'curator', 'scriba', 'specularius']",5.0,3.0,3.0,3.0,0.07894736842105263,Atella (Italia (I Latium and Campania)),"['Managerial', 'Managerial', 'Managerial', 'Education', 'Glass-Working']",3,[0 0 0 0 1 0 0 0 1 0 0 3 0 0 0 0 0 0 0],"[0.  0.  0.  0.  0.2 0.  0.  0.  0.2 0.  0.  0.6 0.  0.  0.  0.  0.  0.
 0. ]",0.6,3,Managerial,"[ 0.          0.          0.          0.         72.4         0.
  0.          0.          4.14228856  0.          0.          2.85953062
  0.          0.          0.          0.          0.          0.
  0.        ]",72.4,Glass-Working,2.272727272727273
751,Hanson2016_752,Atina,Atina,Italia (I Latium and Campania),Italy,3,44 E2,-400,,Beloch 1880; Bispham 2007; de Ligt 2012; DGRG; Golvin 1988.,35.0,Inhabited area,"['Colonia', 'Municipium']","['Amphitheatre', 'Aqueduct', 'Temple', 'Walls']",4,POINT (13.799572 41.619665),752,,,,,4837.0,,True,148.0,"['curator', 'curator', 'argentarius', 'curator', 'curator', 'curator', 'faber', 'pecuarius']",8.0,4.0,6.0,4.0,0.04054054054054054,Atina (Italia (I Latium and Campania)),"['Managerial', 'Managerial', 'Metal-Working', 'Managerial', 'Managerial', 'Managerial', 'Unclassified', 'Food-Production']",4,[1 0 1 0 0 0 0 0 0 0 0 5 0 0 0 1 0 0 0],"[0.125 0.    0.125 0.    0.    0.    0.    0.    0.    0.    0.    0.625
 0.    0.    0.    0.125 0.    0.    0.   ]",0.625,5,Managerial,"[2.22858672 0.         1.30747487 0.         0.         0.
 0.         0.         0.         0.         0.         2.97867773
 0.         0.         0.         1.50180375 0.         0.
 0.        ]",2.9786777332570122,Managerial,2.2857142857142856
753,Hanson2016_754,Bovillae,Frattocchie,Italia (I Latium and Campania),Italy,3,43 C2,-400,,Beloch 1880; Bispham 2007; BNP; de Ligt 2012; DGRG; Nelis-Clément and Roddaz 2008; Sear 2006.,,,['Municipium?'],"['Aqueduct', 'Aqueduct', 'Circus', 'Forum?', 'Temple of Veiovis?', 'Theatre', 'Urban grid?', 'Walls', 'Walls']",9,POINT (12.60986 41.743602),754,,,,,1000.0,,True,149.0,"['structor', 'curator', 'fictor']",3.0,3.0,1.0,0.0,0.006711409395973154,Bovillae (Italia (I Latium and Campania)),"['Building', 'Managerial', 'Plastic Arts']",3,[0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0],"[0.         0.         0.         0.         0.         0.
 0.         0.33333333 0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.33333333
 0.        ]",0.3333333333333333,1,Plastic Arts,"[ 0.          0.          0.          0.          0.          0.
  0.         21.51421189  0.          0.          0.          1.58862812
  0.          0.          0.          0.          0.          4.45478866
  0.        ]",21.514211886304906,Plastic Arts,3.0
754,Hanson2016_755,Caiatia,Caiazzo,Italia (I Latium and Campania),Italy,3,44 F3,-400,,Beloch 1880; Bispham 2007; de Ligt 2012.,14.0,Walls,"['Municipium', 'Rights and privileges']","['Acropolis', 'Walls', 'Walls']",3,POINT (14.366638 41.177123),755,,,,,1422.0,,True,68.0,"['curator', 'curator', 'architectus', 'curator', 'curator']",5.0,2.0,8.0,0.0,0.11764705882352941,Caiatia (Italia (I Latium and Campania)),"['Managerial', 'Managerial', 'Building', 'Managerial', 'Managerial']",2,[0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0],"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.8 0.  0.  0.  0.  0.  0.2
 0. ]",0.8,4,Managerial,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         3.8127075
 0.         0.         0.         0.         0.         2.67287319
 0.        ]",3.812707498568976,Managerial,1.4705882352941173
756,Hanson2016_757,Cales,Calvi,Italia (I Latium and Campania),Italy,3,44 F3,-500,,Beloch 1880; Bispham 2007; Cornell and Mathews 1982; de Ligt 2012; DGRG; PECS; Salmon 1969; Sear 2006.,64.0,Walls,"['Colonia', 'Colonia', 'Municipium', 'Rights and privileges']","['Amphitheatre', 'Baths', 'Baths', 'Forum', 'Palaestra', 'Sanctuary', 'Temple', 'Theatre', 'Unidentified public building', 'Walls', 'Walls']",11,POINT (14.132 41.2),757,,,,,10834.0,,True,180.0,"['gisiarius', 'curator', 'curator', 'centonarius', 'curator', 'curator', 'scriba', 'gisiarius', 'aerarius', 'medicus']",10.0,6.0,7.0,1.0,0.03888888888888889,Cales (Italia (I Latium and Campania)),"['Transport', 'Managerial', 'Managerial', 'Clothing', 'Managerial', 'Managerial', 'Education', 'Transport', 'Metal-Working', 'Miscellaneous Services']",6,[0 0 1 0 0 0 2 0 1 0 0 4 1 0 0 0 0 0 1],"[0.  0.  0.1 0.  0.  0.  0.2 0.  0.1 0.  0.  0.4 0.1 0.  0.  0.  0.  0.
 0.1]",0.4,4,Managerial,"[0.         0.         1.0459799  0.         0.         0.
 5.38899676 0.         2.07114428 0.         0.         1.90635375
 1.64220907 0.         0.         0.         0.         0.
 0.75212285]",5.3889967637540455,Transport,4.166666666666666
